km_marco_m,de,ate,ndvi_antes,ndvi_depois,queda
17000,2022-11-27,2022-12-02,0.4678,0.2945,0.1733
17000,2023-12-02,2023-12-07,0.4503,0.2902,0.1601
17000,2024-05-05,2024-05-10,0.451,0.2894,0.1616
17500,2022-11-27,2022-12-02,0.5215,0.2372,0.2843
17500,2024-03-31,2024-04-05,0.4741,0.28,0.1941
17500,2024-12-31,2025-01-05,0.5173,0.319,0.1983
18000,2019-01-07,2019-01-12,0.5414,0.3507,0.1907
18500,2025-10-22,2025-10-29,0.4642,0.2683,0.1959
18500,2026-04-20,2026-04-25,0.4908,0.266,0.2248
19500,2024-11-26,2024-12-01,0.477,0.2913,0.1857
20500,2021-04-11,2021-04-16,0.452,0.139,0.313
20500,2023-06-20,2023-06-25,0.5461,0.3415,0.2046
20500,2026-06-19,2026-06-29,0.5803,0.2947,0.2856
21500,2024-03-16,2024-03-26,0.4599,0.2548,0.2051
22000,2024-03-16,2024-03-26,0.4862,0.3112,0.175
23500,2019-02-01,2019-02-11,0.5762,0.357,0.2192
23500,2019-03-23,2019-04-02,0.5918,0.4079,0.1839
23500,2020-04-06,2020-04-11,0.5945,0.3299,0.2646
23500,2020-08-09,2020-08-14,0.4633,0.091,0.3723
23500,2022-03-07,2022-03-17,0.5844,0.3338,0.2506
23500,2023-02-10,2023-02-20,0.6269,0.2239,0.403
23500,2023-05-26,2023-06-05,0.6011,0.4401,0.161
23500,2023-11-07,2023-11-12,0.611,0.4555,0.1555
23500,2025-06-19,2025-06-29,0.4857,0.2755,0.2102
24500,2020-04-26,2020-05-01,0.4873,0.3075,0.1798
24500,2020-08-09,2020-08-14,0.4515,0.1428,0.3087
24500,2021-12-02,2021-12-12,0.466,0.2993,0.1667
25500,2019-03-23,2019-04-02,0.6614,0.4947,0.1667
25500,2019-04-27,2019-05-02,0.6417,0.4736,0.1681
25500,2020-09-08,2020-09-13,0.4783,0.3269,0.1514
25500,2020-11-22,2020-11-27,0.6541,0.4935,0.1606
25500,2021-12-02,2021-12-12,0.5528,0.3143,0.2385
25500,2022-05-01,2022-05-11,0.5916,0.3168,0.2748
25500,2023-02-10,2023-02-20,0.6324,0.208,0.4244
25500,2026-07-29,2026-08-08,0.5099,0.3327,0.1772
26000,2019-02-11,2019-02-21,0.5959,0.4351,0.1608
26000,2021-12-02,2021-12-12,0.5242,0.2808,0.2434
26000,2022-05-01,2022-05-11,0.5994,0.4267,0.1727
26500,2021-12-02,2021-12-12,0.4566,0.2978,0.1588
26500,2024-04-30,2024-05-05,0.4981,0.3458,0.1523
27000,2024-05-05,2024-05-10,0.572,0.4047,0.1673
27500,2019-03-28,2019-04-02,0.9809,0.5523,0.4286
27500,2026-01-10,2026-01-15,0.63,0.3054,0.3246
27500,2026-07-09,2026-07-19,0.5403,0.3783,0.162
28000,2019-02-01,2019-02-11,0.4767,0.3196,0.1571
28000,2020-03-17,2020-03-22,0.4539,0.2821,0.1718
28000,2024-05-05,2024-05-10,0.5043,0.2866,0.2177
28000,2026-04-05,2026-04-17,0.5256,0.3459,0.1797
28500,2019-01-07,2019-01-17,0.6085,0.3815,0.227
28500,2019-05-27,2019-06-06,0.6517,0.4279,0.2238
28500,2019-07-31,2019-08-05,0.5211,0.3179,0.2032
28500,2019-10-14,2019-10-19,0.4746,0.2985,0.1761
28500,2021-02-20,2021-03-02,0.5328,0.2888,0.244
28500,2022-06-05,2022-06-10,0.5064,0.2364,0.27
28500,2023-08-04,2023-08-09,0.4941,0.2626,0.2315
28500,2025-06-19,2025-06-29,0.5806,0.3996,0.181
28500,2026-03-21,2026-03-26,0.6239,0.4707,0.1532
28500,2026-07-19,2026-07-26,0.5816,0.4284,0.1532
28500,2026-09-02,2026-09-04,0.599,0.4429,0.1561
