indice,metodo,km_descricao,km_marco_m,distancia_eixo_m,area_m2,latitude,longitude
68,"Spider, Giro-Zero ou Trator com trincheira",4,4000,38.9,3049.45974037971,-23.43851705418095,-46.7673427463361
69,"Spider, Giro-Zero ou Trator com trincheira",4,4000,31.3,864.677387159362,-23.43846533753868,-46.7673929585148
70,"Spider, Giro-Zero ou Trator com trincheira",4,4000,17.4,117.16962630712,-23.43811634246875,-46.76768577265
71,"Spider, Giro-Zero ou Trator com trincheira",4,4000,25.0,3584.628857221,-23.43810780323306,-46.7678095487548
72,"Spider, Giro-Zero ou Trator com trincheira",4,4500,25.5,694.967668527754,-23.44108130565466,-46.7728198894231
73,Apenas manual,4,4500,67.0,252.390968017518,-23.44135301982542,-46.7716028520776
74,Apenas manual,4,4500,47.9,49.8546833432398,-23.44066617580974,-46.772527384363
75,"Spider, Giro-Zero ou Trator com trincheira",4,4000,25.3,4140.35538051431,-23.44003784187008,-46.7710600957419
76,Apenas manual,4,4500,87.8,297.336711864796,-23.44184551844494,-46.7720556275684
77,Apenas manual,4,4500,48.1,499.600826975101,-23.44183444049126,-46.7727554496415
78,Apenas manual,4,4500,92.8,558.712815874692,-23.44166459447592,-46.7716599386453
79,Apenas manual,4,4500,111.7,213.873086067258,-23.44155766213099,-46.7711382063187
80,"Spider, Giro-Zero ou Trator com trincheira",4,4000,40.3,26.699462173746,-23.43954933654959,-46.7705115267742
81,"Spider, Giro-Zero ou Trator com trincheira",4,4000,33.7,30.7732471384792,-23.43979747204076,-46.7708093365698
82,Apenas manual,4,4000,86.7,274.004977026736,-23.44056376318258,-46.7699199294026
83,"Spider, Giro-Zero ou Trator com trincheira",4,4000,68.2,1635.44844814378,-23.44047138464342,-46.7700979869164
84,"Spider, Giro-Zero ou Trator com trincheira",4,4000,8.7,10855.2738318194,-23.43897007476535,-46.7686498434554
85,"Spider, Giro-Zero ou Trator com trincheira",4,4000,40.7,20.0846100102694,-23.43939104597792,-46.7702513641328
86,Apenas manual,4,4000,43.7,857.371116696132,-23.43807644958339,-46.7680957942007
87,Apenas manual,4,4000,31.2,1176.12073112055,-23.43807270003679,-46.7678631807188
88,Apenas manual,4,3500,33.2,977.089408506646,-23.43811099738706,-46.7667628578196
89,Apenas manual,4,4000,45.5,114.266076413468,-23.43884790442177,-46.767778267523
90,Apenas manual,4,4000,34.1,924.499313628287,-23.43943118557547,-46.7701996255718
91,Apenas manual,4,4000,57.3,316.880473018572,-23.43977318445004,-46.7691223908757
92,Apenas manual,4,4500,79.5,181.311827489208,-23.4400280599773,-46.7720246931331
93,Apenas manual,4,4500,63.5,349.175760248789,-23.44021402976407,-46.7720489227413
94,"Spider, Giro-Zero ou Trator com trincheira",4,4500,49.0,2602.67046463379,-23.44183165185208,-46.7727336234902
95,Apenas manual,4,4000,38.6,806.33339888632,-23.44043906684072,-46.7705790917105
96,Apenas manual,4,4500,28.2,678.016113361851,-23.44049281233865,-46.7718794917853
97,"Spider, Giro-Zero ou Trator com trincheira",4,4000,59.6,9988.47977698169,-23.44076609814721,-46.7707505278598
98,Apenas manual,4,4000,56.3,485.249813036118,-23.43775300355309,-46.7677783975084
99,Apenas manual,4,4500,25.0,152.826274486642,-23.44106719889841,-46.7727875655702
100,Apenas manual,4,4000,19.9,1003.26190863401,-23.43774942015703,-46.7671143418976
101,Apenas manual,4,4500,48.1,379.350040995261,-23.44033041391884,-46.7719648821787
102,Apenas manual,5,5500,48.3,306.224422635668,-23.44607050420349,-46.7787080245436
103,Apenas manual,5,5000,65.2,1242.63598727586,-23.4445558854334,-46.7784048054527
104,Trator com braço articulado,5,5000,31.9,3305.6128996894,-23.44310286451131,-46.7758374197546
105,"Spider, Giro-Zero ou Trator com trincheira",5,5500,44.1,118.000000059546,-23.4456170087977,-46.7795519126052
106,"Spider, Giro-Zero ou Trator com trincheira",5,5500,8.9,14490.6013611873,-23.44607166649881,-46.7796245340969
107,"Spider, Giro-Zero ou Trator com trincheira",5,5500,56.2,1645.39831216263,-23.44606858687679,-46.78037756388
108,Apenas manual,5,5500,94.2,321.044753813111,-23.44559360270301,-46.780321366639
109,Apenas manual,5,5500,77.8,487.852737480461,-23.44551433164338,-46.7799476413416
110,Apenas manual,5,5500,30.0,721.514510847888,-23.44714024009069,-46.7814185401239
111,Apenas manual,5,5500,69.4,281.54071206275,-23.44684990550903,-46.7816455118838
112,Apenas manual,5,5000,83.0,475.421946576644,-23.44431591936703,-46.7783540691484
