km_marco_m,data_imagem,ndvi_mediana,n_pixels,nuvem_pct
500,2021-01-31,0.3808,39,0.0488
500,2021-02-10,0.3341,41,0.0
500,2021-02-20,0.4409,41,0.0
500,2021-03-02,0.4248,41,0.0
500,2021-03-12,0.3934,41,0.0
500,2021-03-22,0.4184,41,0.0
500,2021-03-27,0.4238,41,0.0
500,2021-04-01,0.491,37,0.0976
500,2021-04-11,0.4969,41,0.0
500,2021-04-26,0.3858,37,0.0976
500,2021-05-01,0.5269,41,0.0
500,2021-05-06,0.4796,41,0.0
500,2021-05-11,0.4797,41,0.0
500,2021-05-21,0.5135,41,0.0
500,2021-05-26,0.5475,41,0.0
500,2021-06-05,0.5045,41,0.0
500,2021-06-15,0.404,41,0.0
500,2021-06-25,0.319,41,0.0
500,2021-07-10,0.4203,41,0.0
500,2021-07-20,0.4117,41,0.0
500,2021-07-25,0.3973,41,0.0
500,2021-07-30,0.3968,41,0.0
500,2021-08-09,0.3657,41,0.0
500,2021-08-19,0.3844,41,0.0
500,2021-08-24,0.3783,41,0.0
500,2021-09-03,0.4001,41,0.0
500,2021-09-08,0.353,40,0.0244
500,2021-09-23,0.3652,41,0.0
500,2021-09-28,0.4108,41,0.0
500,2021-10-08,0.4115,41,0.0
500,2021-10-13,0.4066,41,0.0
500,2021-10-23,0.3778,41,0.0
500,2021-11-07,0.3744,41,0.0
500,2021-11-17,0.3578,41,0.0
500,2021-11-22,0.4157,41,0.0
500,2021-11-27,0.4037,40,0.0244
500,2021-12-02,0.3975,41,0.0
500,2021-12-07,-0.0064,41,0.0
500,2021-12-12,0.3607,41,0.0
500,2021-12-22,0.4092,41,0.0
500,2022-01-16,0.516,41,0.0
500,2022-01-21,0.5581,41,0.0
500,2022-01-26,0.4501,41,0.0
500,2022-02-10,0.5092,41,0.0
500,2022-02-20,0.4103,41,0.0
500,2022-03-02,0.5022,41,0.0
500,2022-03-07,0.4327,41,0.0
500,2022-03-22,0.5788,41,0.0
500,2022-04-06,0.5909,41,0.0
500,2022-04-11,0.5763,41,0.0
500,2022-04-21,0.4674,41,0.0
500,2022-04-26,0.5742,41,0.0
500,2022-05-01,0.5577,41,0.0
500,2022-05-11,0.5604,41,0.0
500,2022-05-21,0.4072,41,0.0
500,2022-05-26,0.5362,41,0.0
500,2022-06-05,0.5318,41,0.0
500,2022-06-25,0.3974,41,0.0
500,2022-06-30,0.4471,41,0.0
500,2022-07-05,0.4234,41,0.0
500,2022-07-10,0.413,41,0.0
500,2022-07-25,0.3906,41,0.0
500,2022-07-30,0.495,41,0.0
500,2022-08-14,0.4546,41,0.0
500,2022-08-24,0.3601,41,0.0
500,2022-09-03,0.2312,41,0.0
500,2022-09-18,0.4415,41,0.0
500,2022-09-23,0.4719,41,0.0
500,2022-10-23,0.4366,41,0.0
500,2022-11-17,0.4152,41,0.0
500,2022-11-27,0.4036,41,0.0
500,2022-12-02,0.4323,41,0.0
500,2022-12-17,0.4009,41,0.0
500,2023-01-16,0.5674,41,0.0
500,2023-01-26,0.585,41,0.0
500,2023-02-10,0.5942,41,0.0
500,2023-02-15,0.3759,41,0.0
500,2023-02-20,0.6581,41,0.0
500,2023-03-02,0.5558,41,0.0
500,2023-03-17,0.5636,41,0.0
500,2023-03-22,0.6259,41,0.0
500,2023-04-01,0.6391,41,0.0
500,2023-04-16,0.5412,41,0.0
500,2023-04-21,0.5419,41,0.0
500,2023-05-01,0.5186,41,0.0
500,2023-05-11,0.4818,41,0.0
500,2023-05-16,0.5371,41,0.0
500,2023-05-26,0.5096,41,0.0
500,2023-06-05,0.5809,41,0.0
500,2023-06-10,0.5576,41,0.0
500,2023-06-20,0.5888,41,0.0
500,2023-06-25,0.5303,41,0.0
500,2023-06-30,0.4175,41,0.0
500,2023-07-05,0.5064,41,0.0
500,2023-07-15,0.5213,41,0.0
500,2023-07-25,0.4757,41,0.0
500,2023-08-04,0.3883,41,0.0
500,2023-08-09,0.4386,41,0.0
500,2023-08-24,0.3293,41,0.0
500,2023-09-03,0.4675,33,0.1951
500,2023-09-08,0.4755,41,0.0
500,2023-09-13,0.4409,41,0.0
500,2023-09-18,0.4712,41,0.0
500,2023-09-23,0.4426,41,0.0
500,2023-10-23,0.4911,41,0.0
500,2023-11-07,0.5483,41,0.0
500,2023-11-12,0.4707,41,0.0
500,2023-12-02,0.5405,41,0.0
500,2023-12-07,0.4953,40,0.0244
500,2023-12-27,0.5253,41,0.0
500,2024-01-06,0.4497,41,0.0
500,2024-02-05,0.5762,41,0.0
500,2024-02-10,0.5415,41,0.0
500,2024-02-25,0.5852,41,0.0
500,2024-03-11,0.6641,41,0.0
500,2024-03-16,0.5413,41,0.0
500,2024-03-21,0.5126,41,0.0
500,2024-03-31,0.6431,41,0.0
500,2024-04-05,0.6149,41,0.0
500,2024-04-10,0.6143,41,0.0
500,2024-04-20,0.5958,41,0.0
500,2024-04-30,0.5663,41,0.0
500,2024-05-05,0.5522,41,0.0
500,2024-05-10,0.3931,41,0.0
500,2024-05-20,0.4109,41,0.0
500,2024-05-30,0.5284,41,0.0
500,2024-06-09,0.5298,41,0.0
500,2024-06-14,0.4838,41,0.0
500,2024-06-19,0.5052,41,0.0
500,2024-06-24,0.4831,41,0.0
500,2024-06-29,0.4501,41,0.0
500,2024-07-19,0.5214,41,0.0
500,2024-07-24,0.4958,41,0.0
500,2024-07-29,0.454,41,0.0
500,2024-08-03,0.5175,41,0.0
500,2024-08-08,0.3456,41,0.0
500,2024-08-18,0.3997,41,0.0
500,2024-08-23,0.3452,41,0.0
500,2024-08-28,0.4088,41,0.0
500,2024-09-02,0.3311,41,0.0
500,2024-09-07,0.3209,41,0.0
500,2024-09-12,0.3502,41,0.0
500,2024-09-22,0.3794,41,0.0
500,2024-10-02,0.2844,41,0.0
500,2024-10-07,0.3328,41,0.0
500,2024-10-17,0.3433,41,0.0
500,2024-10-22,0.3302,41,0.0
500,2024-11-01,0.3579,41,0.0
500,2024-11-11,0.4275,41,0.0
500,2024-11-26,0.4289,41,0.0
500,2024-12-31,0.5547,41,0.0
500,2025-01-15,0.4954,41,0.0
500,2025-01-25,0.5495,41,0.0
500,2025-02-19,0.5871,41,0.0
500,2025-02-24,0.6114,41,0.0
500,2025-03-01,0.558,41,0.0
500,2025-03-06,0.5303,41,0.0
500,2025-03-21,0.5953,41,0.0
500,2025-04-12,0.6423,41,0.0
500,2025-04-15,0.633,41,0.0
500,2025-05-02,0.3335,38,0.0732
500,2025-05-05,0.4619,41,0.0
500,2025-05-15,0.5444,41,0.0
500,2025-05-20,0.478,41,0.0
500,2025-05-22,0.4161,41,0.0
500,2025-05-25,0.519,41,0.0
500,2025-05-30,0.5026,41,0.0
500,2025-06-04,0.5219,41,0.0
500,2025-06-19,0.564,41,0.0
500,2025-06-29,0.5267,41,0.0
500,2025-07-09,0.4896,41,0.0
500,2025-07-14,0.4454,41,0.0
500,2025-07-19,0.4751,41,0.0
500,2025-07-21,0.4458,41,0.0
500,2025-07-24,0.3426,41,0.0
500,2025-07-29,0.572,41,0.0
500,2025-08-03,0.4448,41,0.0
500,2025-08-08,0.3498,41,0.0
500,2025-08-13,0.4233,41,0.0
500,2025-08-18,0.3227,41,0.0
500,2025-08-30,0.4538,41,0.0
500,2025-09-27,0.4297,41,0.0
500,2025-10-17,0.3563,41,0.0
500,2025-10-22,0.4314,41,0.0
500,2025-11-01,0.493,41,0.0
500,2025-11-11,0.3764,41,0.0
500,2025-11-21,0.3661,41,0.0
500,2025-11-26,0.4079,41,0.0
500,2025-12-01,0.3921,41,0.0
500,2025-12-06,0.3659,41,0.0
500,2025-12-11,0.5343,41,0.0
500,2025-12-26,0.5263,41,0.0
500,2025-12-28,0.5417,41,0.0
500,2026-01-10,0.4834,41,0.0
500,2026-03-16,0.5782,41,0.0
500,2026-03-21,0.6309,41,0.0
500,2026-03-26,0.4354,41,0.0
500,2026-03-28,0.5191,41,0.0
500,2026-04-05,0.5688,35,0.1463
500,2026-04-17,0.6116,41,0.0
500,2026-04-20,0.6073,41,0.0
500,2026-04-30,0.607,41,0.0
500,2026-05-05,0.6336,41,0.0
500,2026-05-07,0.5916,41,0.0
500,2026-06-19,0.5715,41,0.0
500,2026-06-29,0.5872,41,0.0
500,2026-07-06,0.4864,41,0.0
500,2026-07-09,0.4575,41,0.0
500,2026-07-19,0.5128,41,0.0
500,2026-07-26,0.5563,41,0.0
500,2026-07-29,0.4992,41,0.0
500,2026-08-18,0.5369,41,0.0
500,2026-08-23,0.4857,41,0.0
500,2026-09-02,0.5635,41,0.0
500,2026-09-04,0.5489,41,0.0
1000,2019-01-07,0.4506,98,0.0
1000,2019-01-12,0.4542,98,0.0
1000,2019-01-22,0.4484,98,0.0
1000,2019-01-27,0.4862,98,0.0
1000,2019-02-01,0.4394,98,0.0
1000,2019-02-11,0.3843,98,0.0
1000,2019-03-23,0.525,98,0.0
1000,2019-04-02,0.4741,98,0.0
1000,2019-04-12,0.5138,98,0.0
1000,2019-04-22,0.4986,98,0.0
1000,2019-04-27,0.5604,98,0.0
1000,2019-05-12,0.3449,98,0.0
1000,2019-05-22,0.5598,98,0.0
1000,2019-05-27,0.5771,98,0.0
1000,2019-06-06,0.5603,86,0.1224
1000,2019-06-11,0.5307,98,0.0
1000,2019-06-16,0.5146,98,0.0
1000,2019-06-26,0.4841,98,0.0
1000,2019-07-06,0.5516,98,0.0
1000,2019-07-11,0.5099,98,0.0
1000,2019-07-26,0.3874,98,0.0
1000,2019-07-31,0.4083,98,0.0
1000,2019-08-10,0.3528,98,0.0
1000,2019-08-15,0.3298,98,0.0
1000,2019-08-25,0.2995,86,0.1224
1000,2019-08-30,0.3026,98,0.0
1000,2019-09-09,0.3262,98,0.0
1000,2019-09-14,0.3302,98,0.0
1000,2019-09-19,0.0186,96,0.0204
1000,2019-09-29,0.3548,98,0.0
1000,2019-10-04,0.3606,98,0.0
1000,2019-10-14,0.3584,98,0.0
1000,2019-11-03,0.3485,98,0.0
1000,2019-12-08,0.4002,98,0.0
1000,2020-01-27,0.3621,98,0.0
1000,2020-03-07,0.4325,95,0.0306
1000,2020-03-12,0.4672,98,0.0
1000,2020-03-17,0.5088,98,0.0
1000,2020-03-22,0.459,98,0.0
1000,2020-04-01,0.4465,98,0.0
1000,2020-04-06,0.462,98,0.0
1000,2020-04-21,0.4306,98,0.0
1000,2020-04-26,0.4075,98,0.0
1000,2020-05-01,0.3681,98,0.0
1000,2020-05-11,0.4321,98,0.0
1000,2020-05-16,0.3967,98,0.0
1000,2020-05-21,0.3618,98,0.0
1000,2020-05-26,0.3935,98,0.0
1000,2020-05-31,0.3603,98,0.0
1000,2020-07-05,0.2882,86,0.1224
1000,2020-07-10,0.4157,98,0.0
1000,2020-07-20,0.3873,98,0.0
1000,2020-07-25,0.3535,98,0.0
1000,2020-08-04,0.3607,98,0.0
1000,2020-08-09,0.3373,98,0.0
1000,2020-08-19,0.3772,98,0.0
1000,2020-08-24,0.3997,98,0.0
1000,2020-08-29,0.3611,98,0.0
1000,2020-09-03,0.35,98,0.0
1000,2020-09-08,0.343,98,0.0
1000,2020-09-13,0.3424,98,0.0
1000,2020-10-13,0.3722,98,0.0
1000,2020-10-18,0.3691,98,0.0
1000,2020-10-23,0.3681,98,0.0
1000,2020-10-28,0.3838,98,0.0
1000,2020-11-07,0.3843,98,0.0
1000,2020-11-22,0.4253,98,0.0
1000,2021-01-31,0.4369,98,0.0
1000,2021-02-10,0.4766,98,0.0
1000,2021-02-15,0.5181,98,0.0
1000,2021-02-20,0.4856,98,0.0
1000,2021-03-02,0.4979,98,0.0
1000,2021-03-12,0.5372,98,0.0
1000,2021-03-22,0.5111,98,0.0
1000,2021-03-27,0.4894,98,0.0
1000,2021-04-01,0.481,98,0.0
