km_marco_m,ndvi_medio,ndvi_mediana,ndvi_p10,ndvi_p90,n_pixels,nuvem_pct,data_imagem,data_alvo,defasagem_dias
3500,0.46662515448988773,0.45722937168811506,0.294072363356428,0.6450488145048815,10,0.0,2026-03-21,2026-03-20,1
4000,0.47504648871980093,0.5219629119284153,0.16610980701862832,0.7143356118480665,403,0.0,2026-03-21,2026-03-20,1
4500,0.39505610265734675,0.4438430311231394,0.060234347562158605,0.7053879601202047,187,0.0,2026-03-21,2026-03-20,1
5000,0.5391267379889882,0.5724523114626384,0.3179450490329244,0.7077171916477641,292,0.0,2026-03-21,2026-03-20,1
5500,0.37361844429139435,0.4093920077847372,0.06463952358679118,0.7284500090717223,322,0.0,2026-03-21,2026-03-20,1
6000,0.5703166349034352,0.5880509657031311,0.3698008378043956,0.729140716934684,178,0.0,2026-03-21,2026-03-20,1
6500,0.6291521323547922,0.650993046598643,0.44289288194291687,0.8023686583363773,148,0.0,2026-03-21,2026-03-20,1
7000,0.6712674879143815,0.7049885062252566,0.4771738623643081,0.8217646411603631,255,0.0,2026-03-21,2026-03-20,1
8500,0.6080186061736588,0.6449534717251253,0.2875760208514335,0.7673738112655449,31,0.0,2026-03-21,2026-03-20,1
9000,0.4513764343233163,0.49752838181811915,0.15433783268505918,0.716701808218953,152,0.0,2026-03-21,2026-03-20,1
9500,0.48768286408087647,0.5250754712347687,0.25924688078156516,0.6617770419728568,373,0.0,2026-03-21,2026-03-20,1
10000,0.5440029715806556,0.576913174359923,0.27391975308641975,0.7558643702410903,199,0.0,2026-03-21,2026-03-20,1
10500,0.6543585824739437,0.6982813494589434,0.43691420331651043,0.8100820555412002,77,0.0,2026-03-21,2026-03-20,1
11000,0.6173759160693645,0.654550423613009,0.35615978516280633,0.775452365380423,18,0.0,2026-03-21,2026-03-20,1
11500,0.4465540006666681,0.47054963938190353,0.245859872611465,0.6008744534665834,71,0.0,2026-03-21,2026-03-20,1
12000,0.5784238051765689,0.5936920222634509,0.2868304806341259,0.7827229705728975,175,0.0,2026-03-21,2026-03-20,1
12500,0.49545469173370804,0.48943473350556055,0.19601742377100184,0.8588557656338771,136,0.0,2026-03-21,2026-03-20,1
13000,0.5008439177940418,0.5258694758806775,0.2414702624733494,0.7091926496738722,277,0.0,2026-03-21,2026-03-20,1
